user_id,recipe_id,recipe_name,score,review,review_length
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,249180,"Courgette / Zucchini Pasta With Chili, Garlic & Parmesan",5,"Seems easy, healthy and nutritious. Most of the ingredients are shelf-stable or can be frozen, so it's also an option when on a pinch or when you did not have the time to go grocery shopping. I also like that it could be easily personalized based on what's available - e.g. different vegetables.",295
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,25521,No Frosting Needed Cupcakes,4,"I would probably try this when I have the energy, but living alone and having no self-control when it comes to sweets I would need to carefully consider the portion sizes.",171
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,456848,Baked Alpine Noodles and Cheese,4,"Seems a bit heavy, but I would probably try it",46
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,155118,Mom's Oyster Dressing/Stuffing,1,"I am vegetarian, so this recipe would not work for me",53
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,170094,Pressure Cooker Hungarian Chicken,1,"I am vegetarian, so this recipe would not work for me.",54
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,125116,Spicy?  Sweet?  Marinara Sauce,4,"Seems nice to have every once in a while, but not every day",59
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,261598,Italian Butter Cookies   1952,3,"They seem nice, but I would probably not feel like using special tools. Also, I have no self control when it comes to sweets and I live alone, so I would need to carefully consider portions.",190
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,321656,Quick and Easy Chicken in Cream Sauce,1,"I am vegetarian, so this recipe does not suit me",48
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,55404,Penne Pasta with Vegetables,4,"Seems easy and customizable. However, I would probably add some protein source - otherwise, it would be unlikely to fill me up for a long time / cause a crash (especially if the pasta is not whole wheat).",204
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,176292,Explorers Thin Crust Pizza,4,"I love pizza, but making the dough takes a lot of time and energy (and needs to raise overnight)",96
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,209429,Garlicky Chicken or Pork Souvlaki,3,"I'm not particularly fond of garlic due to digestive issues, but I would definitely eat it for lunch, it looks delicious",119
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,141651,Spanish Green Beans With Bacon,4,"It seems very much in line with my tastes, and as I said before I really love Spanish culture",93
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,49244,All-In-One Sponge Cake,3,"I'm not a huge fan of sweets in general, I prefer savoury foods, it's definitely worth a try, as I generally really appreciate food, I never hold back.",151
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,170962,Mustard-Baked Pork Chops W/Brie,5,"Well, this recipe seems to be right up my alley, especially since I love Brie.",78
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,36126,Turkish Cacik,4,"It looks great, I'm not sure what it's made of, but used as a sauce it looks really inviting",92
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,61946,Italian Beef Patties with Balsamic Cream Sauce,5,"Very interesting, as I said I love going out to eat about once a week and this looks like a pattie I would order on a cold Saturday night.",138
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,166577,"Baked Penne With Roasted Vegetables,courtesy Giada De La",3,"It looks very good and seems like an almost complete dish, in fact it includes pasta and vegetables. I would definitely try it.",127
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,179299,Layered Zucchini Lasagna(No Noodles!),3,"I'm not a fan of revolutions in the great classics, but I think this could be interesting so I would definitely try it!",119
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,213476,Mushrooms in Cream,5,"Mushrooms are part of Sardinian culture, instilled in me by my grandparents since I was little. This dish looks delicious.",122
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,558,German Potato-Cheese Soup,5,"I love potatoes and cheese, so I definitely need to try this ASAP!",66
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,49244,All-In-One Sponge Cake,2,"This recipe is good for me because it is a dessert and it is very tasty, but considering that I would like to lose weight, I should cut out sweets",146
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,176451,Panera Bread Tomato Mozzarella Salad,5,"This recipe is good for me because it is a recipe that I make often in the summer, it is quick, fresh and delicious for a lunch or a dinner",139
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,98150,Cabbage Rolls - Real Hungarian Style,1,"This recipe is not suitable for me, because it contains an ingredient, namely cabbage, that I don't like.",105
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,274170,A New Yorker's Real Italian Cheesecake,2,"This recipe is good for me because it is a dessert and it is very tasty, i very like cheesecakes, but considering that I would like to lose weight, I should cut out sweets.",172
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,175886,English Muffin French Toast!,5,"This recipe is ok for breakfast, maybe with diet ingredients",60
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,335304,The Real New York Bagel Recipe,2,"I have never tasted them, but since it is a complex dish and a dessert it is not suitable for this moment",105
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,447516,"Pasta With Roasted Garlic, Cherry Tomatoes and Basil",3,"this recipe is ok, but if the garlic is not too noticeable or if it is possible to remove it afterwards",103
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,248743,Pink Mediterranean Pasta Sauce,4,"This recipe seems ok for my college lunches, as long as there aren't any vegetables in it that I don't like.",108
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,3168,Italian Chicken Breasts,5,"This recipe seems to be suitable for my university lunches or my dinners, a new way to eat chicken every now and then for a change",130
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,142232,Kittencal's Creamy Parmesan Risotto,5,This recipe is perfect for my weekend lunches where I have more time available.,79
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,312520,Creamy Garlic-Parmesan Orzo,2,I'm not particularly interested in eating this dish because I'm not a garlic lover,82
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,211484,Fool's Salt  - Sel Fou  -  French Style Seasoning Salt,3,"This seems like a good recipe, especially in the version where it's added to french fries",89
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,250065,Ww Fettuccine Alfredo,2,"This recipe is unsuitable for me due to the use of mushrooms, which I don't particularly appreciate for personal taste, not so much for their flavor but for their texture",170
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,37701,Coq Au Vin (Chicken Braised in Red Wine),3,"Not particularly inviting from the photo and the presence of garlic, but I'm sure the meat is very flavorful and therefore if presented in another way I know I would probably appreciate it",188
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,84217,Marinara Sauce of Alan Leonetti (2 Servings) (((The Best))),4,"This seems to be an interesting and tasty recipe, I give it 4 stars because it's not accompanied with something else",116
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,25521,No Frosting Needed Cupcakes,3,Suitable because aesthetically it's inviting but after eating one I would already be satisfied with the amount of sweetness,123
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,21182,"Irish ""matter of Fact Peas"" (Mushy Peas)",5,"This looks like a nice creamy and flavorful dish, with a good balance of nutritional values",91
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,229649,Pastissets (Powdered Sugar Cookies from Spain),1,"Aesthetically they don't particularly inspire me, the addition that they are sweet lowers my rating",99
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,493958,Tuscan Sun White Bean Chicken Soup #RSC,3,"Good dish, also in this case the aesthetics don't highlight the dish itself, if everything was blended together it would make a more appreciated soup",149
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,36346,Greek Lemon Pilaf,5,Simple but healthy recipe. It can be improved with some vegetables,66
generated-ebade550-0e51-4f47-b9d2-2899239d29a3,202416,Simple Homemade Refried Beans,1,I don't like legumes and therefore I don't like beans.,54
