Questionnaire,Model,User Coverage (%),Model valid answer (%),Accuracy Overall (%),Accuracy Unknown (%),Accuracy Unknown Relative (%),Unknown representation prediction (%),Unknown representation (%),Accuracy known (%),Accuracy Known Relative (%),LLM known representation,Human known representation (%),MAE,MSE,RMSE
FCQ,deepseek-r1_70b_FCQ,100.00,62.84,8.62,0.00,0.00,34.87,0.00,30.82,30.82,26.53,100.00,1.01,1.86,1.36
JC,deepseek-r1_70b_JC,100.00,7.42,16.92,0.00,0.00,4.58,0.00,24.00,30.93,2.74,80.20,,,
FCQ,deepseek-r1_32b_FCQ,100.00,26.05,3.26,0.00,0.00,17.72,0.00,39.08,39.08,8.24,100.00,0.93,1.72,1.31
JC,deepseek-r1_32b_JC,100.00,4.61,17.20,0.00,0.00,3.02,0.00,22.86,27.12,1.67,80.20,,,
FCQ,qwen3_32b_FCQ,100.00,29.41,2.20,0.00,0.00,22.51,0.00,31.94,31.94,6.51,100.00,0.91,1.50,1.22
JC,qwen3_32b_JC,100.00,1.72,17.58,0.00,0.00,1.36,0.00,56.25,64.29,0.40,80.20,,,
FCQ,qwen2.5_32b_FCQ,100.00,90.71,13.03,0.00,0.00,58.05,0.00,39.88,39.88,30.94,100.00,0.77,1.22,1.10
JC,qwen2.5_32b_JC,100.00,40.06,13.45,0.00,0.00,30.40,0.00,29.58,34.05,10.47,80.20,,,
FCQ,llama3.1_8b_FCQ,100.00,85.82,6.03,0.00,0.00,66.00,0.00,30.43,30.43,19.44,100.00,1.04,1.86,1.36
JC,llama3.1_8b_JC,100.00,51.32,10.32,0.00,0.00,36.75,0.00,23.83,26.47,16.35,80.20,,,
