recipe_id,title,description,recipe_url,image_url,ingredients_list,directions,# Interactions,average_rating,number_of_ratings,tags
22782,Jo Mama's World Famous Spaghetti,"My kids will give up a steak dinner for this spaghetti. It is a recipe I have been perfecting for years and it is so good (if I may humbly say) that my kids are disappointed when they eat spaghetti anywhere else but home! In fact they tell me I should open a restaurant and serve only this spaghetti and garlic bread. In response to requests, I have posted the recipe for Recipe #28559 that uses approximately 1/2 of the sauce from this
recipe. Have spaghetti one night and lasagna later!  Thanks to all of you who have tried my recipe and have written a review.  I read and appreciate every one of them!  Chef Note:  After I posted this recipe I remembered a funny incident--my dear husband usually has a nice bottle of wine handy so when I make a batch of spaghetti I just help myself to a splash of it. On one occasion, there wasn't a bottle opened, but there was a bottle sitting on the counter so I got out the corkscrew and helped myself. For some reason, the spaghetti that night was the best ever. My husband asked what wine I put in it and I showed him the bottle. He nearly fell off the chair. I had opened a rather expensive bottle he had bought to give his boss. Goes to show you--don't use a wine for cooking you wouldn't drink. You get the best results from a good wine!",https://www.food.com/recipe/jo-mamas-world-famous-spaghetti-22782,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/22/78/2/xy39o2sOTtudkgyDgZtv_spaghettisauce.jpg","Italian sausage, casings removed (mild or hot) | small onion, chopped (optional) | garlic cloves, minced | diced tomatoes | tomato paste | tomato sauce | water (for a long period of simmering for flavors to meld. If you don't want to simmer it as long, add less) | basil | dried parsley flakes | brown sugar | salt | crushed red pepper flakes | fresh coarse ground black pepper | red wine (a good Cabernet!) | thin spaghetti | parmesan cheese","In large, heavy stockpot, brown Italian sausage, breaking up as you stir. | Add onions and continue to cook, stirring occasionally until onions are softened. | Add garlic, tomatoes, tomato paste, tomato sauce and water. | Add basil, parsley, brown sugar, salt, crushed red pepper, and black pepper. | Stir well and barely bring to a boil. | Stir in red wine. | Simmer on low, stirring frequently for at least an hour. A longer simmer makes for a better sauce, just be careful not to let it burn! | Cook spaghetti according to package directions. | Spoon sauce over drained spaghetti noodles and sprinkle with parmesan cheese.",1297,"4,73",1194,weeknight | time-to-make | course | main-ingredient | cuisine | preparation | occasion | main-dish | pasta | pork | easy | european | kid-friendly | italian | stove-top | dietary | comfort-food | oamc-freezer-make-ahead | meat | pork-sausage | pasta-rice-and-grains | spaghetti | taste-mood | equipment | number-of-servings | 4-hours-or-less
38298,Olive Garden Copycat Zuppa Toscana,"This is a clone of the Olive Garden Zuppa Toscana. Tried and true, approved by former Olive Garden chefs.",https://www.food.com/recipe/olive-garden-copycat-zuppa-toscana-38298,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/38/29/8/Z8MMxtVfQfCLy4zZJtZU_0S9A7184.jpg","Italian sausage (I like mild sausage) | potatoes, wash, sliced in half, and then in 1/4 inch slices | large vidalia onion, chopped | slices cooked bacon, chopped | Accent seasoning (optional) | salt | black pepper | red pepper flakes | of minced garlic from jar | kale or 2 cups $template2$, chopped | chicken broth, add i envelope of chicken bouillon for extra flavor | quart water | flour or 2 teaspoons $template2$, mixed with enough water to make a paste | heavy whipping cream (tempered)","Chop or slice uncooked sausage into small pieces and cook until browned and meat is ground in bottom of your soup pan over med-high heat. | Add onions, garlic, salt, pepper, and red pepper flakes to Sausage and cook until onions are clear and aromatics of the seasonings blend together. | Reduce heat back to medium and place, potatoes, in the pot. and slowly add the Chicken Stock and water and stir. (use Chicken Bouillon envelope for extra flavor is Chicken Stock is weak). | Cook on medium heat until potatoes are done and stir occasionally. Once Potatoes are done, Add flour or cornstarch and simmer for another 15 minutes. | Reduce heat to lowest setting and sprinkle in your kale and cooked bacon and slowly pour cream while stirring. | Check for taste and then serve.",696,"4,88",728,bacon | weeknight | 60-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | soups-stews | pork | potatoes | vegetables | european | italian | stove-top | dietary | copycat | low-calorie | low-carb | low-in-something | meat | novelty | equipment
87782,Greek Potatoes (Oven-Roasted and Delicious!),"These potatoes are a staple in our home. Whether accompanying roast lamb or chicken, or just on their own, we have them a couple of times a week. They are delicious and the ones that get overly-brown in the pan and stick a bit are MINE!  Clean up is a little tricky with this recipe, unless you line your pans with foil, but I find that just filling the pan up with hot, sudsy water and forgetting for an hour (something I apparently have no problem doing ;-)) helps a lot.",https://www.food.com/recipe/greek-potatoes-oven-roasted-and-delicious-87782,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/87/78/2/GvYCvLdzQb2AyElhhEou_batch23-7123.jpg","large potatoes, peeled, cut into large wedges (about 6-7 wedges per potato) | garlic cloves, minced (more garlic is a good thing, less garlic is a no-no for this recipe) | olive oil | water | dried oregano (to taste) | large lemon, juiced | sea salt | fresh coarse ground black pepper","Preheat oven to 420°F A reviewer has suggested spraying the baking pan with Pam - that sounds like a great idea! | Put all the ingredients into a baking pan large enough to hold them. | Season generously with sea salt and black pepper. | Make sure your hands are very clean and put them in the pan and give everything a toss to distribute. | The garlic will drop into the water/oil solution but its flavour will permeate the potatoes, and this way, it won't burn. | Bake for 40 minutes. | When a nice golden-brown crust has formed on the potatoes, give them a stir to bring the white underside up, season lightly with a bit more sea salt and pepper and just a light sprinkling of oregano. | Add 1/2 cup more water if pan appears to be getting dry, and pop back into oven to brown other side of potatoes. | This will take about another 40 minutes. | Do not be afraid of overcooking the potatoes- they will be delicious. | Note: I often melt a bouillon cube in the water; if you do, make sure to cut back some on the salt.",603,"4,76",638,time-to-make | course | main-ingredient | cuisine | preparation | occasion | low-protein | side-dishes | potatoes | vegetables | greek | european | dinner-party | kid-friendly | vegetarian | dietary | low-sodium | low-cholesterol | low-saturated-fat | low-calorie | comfort-food | healthy-2 | low-in-something | taste-mood | 4-hours-or-less
28768,Absolute Best Ever Lasagna,"My family's favorite. This is a very meaty lasagna. We prefer it with cottage cheese, but you can easily substitute ricotta.",https://www.food.com/recipe/absolute-best-ever-lasagna-28768,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/28/76/8/SyAcnUdwTHGQfekagLBj_ABEL%25203%2520-%2520final_1.png","lean ground beef | Italian sausage or 1/2 lb ground veal | large onion, chopped | garlic cloves, minced | salt | fresh coarse ground black pepper | dried parsley flakes | dried oregano | dried basil | whole tomatoes, undrained and chopped (or canned chopped tomatoes) | tomato paste | ricotta cheese | eggs, beaten | pepper | parsley | grated parmesan cheese | mozzarella cheese, divided | lasagna noodles","Brown ground meat, onion and garlic. | Add salt, pepper, parsley, oregano, basil, chopped tomatoes with juice, tomato paste; stirring until well mixed. | Cover and simmer 1 hour (or longer,but watch for getting too dry). | Cook lasagna noodles according to package directions; drain and set aside. | Spray a 13 x 9"" baking pan with cooking spray. | Combine riccota cheese, eggs, pepper, 2 tablespoons parsley, Parmesan cheese and 1/2 1lb of mozzarella cheese; In a lasagna pan, layer noodles, meat sauce, and cheese mixture; repeat. | Top off with layer of noodles; sprinkle evenly with remaining mozzarella cheese; make sure to cover noodles completely. | Bake at 375F for 40-60 minutes, or until cheese mixture is thoroughly melted. (I cover w/ foil for about 40 minutes, then uncover for 15-20 minutes. | Let sit for 15-20 minutes before cutting and serving.",589,"4,65",615,weeknight | time-to-make | course | main-ingredient | cuisine | preparation | occasion | main-dish | beef | eggs-dairy | pasta | oven | european | dinner-party | romantic | italian | lasagna | cheese | dietary | comfort-food | low-carb | ground-beef | low-in-something | meat | pasta-rice-and-grains | taste-mood | equipment | 4-hours-or-less
31750,The Best Ever Waffles,"Every Sunday morning, my mom and I used to get up early and make these wonderful waffles. This recipe has been in the family for years, and I will definitly be passing it down to my children.",https://www.food.com/recipe/the-best-ever-waffles-31750,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/31/75/0/OAoTlkKTayFGct4goFYg_BEW%25208%2520-%2520final_6.png","flour | baking powder | salt | sugar | eggs, separated | butter, melted | milk","In a large mixing bowl, whisk together all dry ingredients. | Separate the eggs, adding the yolks to the dry ingredient mixture, and placing the whites in a small mixing bowl. | Beat whites until moderately stiff; set aside. | Add milk and melted butter to dry ingredient mixture and blend. | Fold stiff egg whites into mixture. | Ladle mixture into hot waffle iron and bake.",520,"4,25",534,30-minutes-or-less | time-to-make | course | cuisine | preparation | occasion | pancakes-and-waffles | breakfast | german | european | kid-friendly | dietary | high-calcium | high-in-something | number-of-servings
92095,Authentic Italian Meatballs,"Meatball recipes are often challenged by chefs who claim, ""Mine are the best!"" Even though my meatballs ARE the best, I will make no such claim. Try them for yourself! This meatball recipe was given to me by my father who got it from a little old lady from Italy that he knew. It's amazing that she gave up her recipe to him, but I sure am glad she did!",https://www.food.com/recipe/authentic-italian-meatballs-92095,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/92/09/5/WeEQibHTSfSIv0EFIi52_authentic%2520italian%2520meatballs_final%25202.jpg",ground beef | eggs | milk | breadcrumbs | salt | fresh parsley | garlic powder | fresh ground pepper | grated locatelli cheese,Mix all ingredients in a large bowl by hand. | Use your bare hands for best results. | Roll meatballs to about the size of a golf ball. (wet your hands to prevent the meat from sticking to them while rolling the meat balls). | Drop raw meatballs into large (I use a stock pot) pot of sauce. | (I have an incredible sauce recipe [#92096] I use for my meatballs). | Simmer for about 3 hours.,506,"4,72",516,time-to-make | main-ingredient | cuisine | preparation | beef | european | italian | dietary | ground-beef | meat | 4-hours-or-less
32844,"Pasta with Sausage, Tomatoes, and Cream","Delicious and satisfying... I don't remember where this recipe comes from, but it's a pleaser! Easily doubled.  Also, works well with gf pasta and sausage",https://www.food.com/recipe/pasta-with-sausage-tomatoes-and-cream-32844,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/32/84/4/XOh9RKyES6dIOho2A6ps_DSC05063-2.jpg","olive oil | sweet Italian sausage link, casings removed,crumbled | crushed dried red pepper flakes | diced onion | cloves garlic, minced | Italian plum tomatoes, drained,coarsely chopped | whipping cream | salt | pasta | minced parsley | grated parmesan cheese","Heat oil in a heavy skillet over medium heat. | Add sausage and crushed red pepper. | Cook until sausage is no longer pink, stirring frequently, about 7 minutes. | Add onion and garlic to skillet and cook until onion is tender and sausage is light brown, stirring occasionally, about 7 minutes. | Add tomatoes, cream, and salt. | Simmer until mixture thickens slightly, about 4 minutes. | (Can be prepared one day ahead. Cover and chill.). | Cook pasta in large pot of boiling water.,Drain.,Bring sauce to a simmer. | Add pasta to sauce and cook until pasta is heated through and sauce thickens, stirring occasionally, about 2 minutes. | Divide pasta between plates. | Sprinkle with parsley. | Serve, passing Parmesan separately.",442,"4,75",461,30-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | for-1-or-2 | main-dish | pasta | pork | easy | european | italian | stove-top | dietary | one-dish-meal | comfort-food | meat | pork-sausage | pasta-rice-and-grains | taste-mood | equipment | number-of-servings
34382,Mashed Red Potatoes With Garlic and Parmesan,"The potatoes are ready in our garden, and this is the first recipe I reach for! These are SO good!!",https://www.food.com/recipe/mashed-red-potatoes-with-garlic-and-parmesan-34382,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/34/38/2/picEKNrvR.jpg","red potatoes, unpeeled, quartered | on size and taste preference) | butter | milk | salt | grated parmesan cheese","Put potatoes and garlic in lg pan. | Cover with water. | Bring to a boil. | Reduce heat and simmer for 25 minutes, until potatoes are tender. | Drain well. | Mash with the butter, milk, and salt. | Stir in the parmesan cheese.",379,"4,73",401,30-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | north-american | low-protein | healthy | side-dishes | eggs-dairy | potatoes | vegetables | american | easy | european | low-fat | summer | cheese | stove-top | dietary | gluten-free | low-cholesterol | seasonal | low-calorie | comfort-food | pacific-northwest | healthy-2 | free-of-something | low-in-something | taste-mood | equipment
66596,Kittencal's Famous Greek Salad,"Be prepared for the best Greek salad on the planet! --- plan ahead the dressing needs at least 2 or more hours to blend the flavors, I sometimes add in 1/4 cup Parmesan cheese to the dressing for a more cheesy dressing, all amounts may be adjusted to taste ----  to marinade the salad allow to sit at room temperature before serving, see bottom of instructions --- you will find this and many more of my recipes posted here http://kittencalskitchen.com/2009/04/13/kittens-famous-greek-salad/  ---also see my recipe #359292",https://www.food.com/recipe/kittencals-famous-greek-salad-66596,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/66/59/6/UbR6JLoqSWOnHGkUd9Q7_DSC02040.jpg","large romaine lettuce, chopped (or use 2 small) | plum tomatoes, cut in wedges (use Roma tomatoes) | English cucumber (peeled, seeded and chopped) | red onion, cut in slices | (optional) | feta cheese, crumbled (or to taste) | kalamata olive | reduce to 3/4 cup | use 2 lemons  make certain that the lemon is at room temperature before squeezing | dried oregano start with 2 teaspoons | fresh minced garlic about 2 medium cloves | dried basil | red wine vinegar | salt or to taste | sugar | fresh ground black pepper or to taste","For the dressing; in a processor or use a wire whisk process/whisk the olive oil with lemon juice, 2 teaspoons dried oregano, garlic, dried, basil, red wine vinegar, salt and sugar until smooth (add in more oregano and lemon juice if needed). | Season with black pepper. | Chill in fridge for a couple of hours before using to blend flavors. | Place the salad ingredients in a large bowl. | Pour dressing over; toss to combine. | If desired allow the salad to sit at room temperature for 20 minutes before serving, or you can refrigerate for 1 hour (tossing a few time during sitting time).",362,"4,86",371,15-minutes-or-less | time-to-make | course | cuisine | preparation | occasion | low-protein | salads | greek | european | summer | vegetarian | dietary | seasonal | low-carb | low-in-something | to-go
46877,Uncle Bill's Whipped Shortbread Cookies,"These are very easy to make shortbread cookies. They are so good that they melt in your mouth, you hardly have to chew them. I have been making them for over 35 years.",https://www.food.com/recipe/uncle-bills-whipped-shortbread-cookies-46877,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/46/87/7/8YxoWEyxSQyUs5ztN2DY_uncle-bills-whipped-shortbread-cookies-46877%25202.jpg","butter, softened | all-purpose flour | icing sugar or 1/2 cup $template2$ | vanilla extract (optional) | red maraschino cherry | green maraschino cherry","Preheat oven to 350 degrees F. | In a mixing bowl and using an electric mixer, combine butter, flour, icing sugar and vanilla extract; mix until mixture is a smooth consistency. | Prepare cookie sheets with parchment paper. | Spoon out dough onto parchment lined cookie sheets by teaspoonfuls or by tablespoons for larger cookies, spacing about 2 inches apart. | Cut maraschino cherries into quarters and place one piece in the middle of each cookie, alternating with red and green cherries. | Bake in preheated 350 F oven for 13 to 15 minutes or until bottom of cookies are lightly browned, DO NOT OVERBAKE. | Remove from oven and let cool on cookie sheet for about 5 minutes. | Transfer onto wire racks to finish cooling. | Store in a container with a lid and separate each layer with wax paper. | NOTE: If you wish to add some flavor to the cookies, add 1 teaspoon of pure vanilla extract or almond extract. | Use sprinkles, half an almond or half a cashew or chocolate to the top of the cookies before baking. | A thumbprint in the cookie, filled with your choice of jam is very tasty. | It has been suggested that the cookies be refrigerated for at least 1/2 hour before baking for a different texture.",323,"4,75",332,60-minutes-or-less | time-to-make | course | cuisine | preparation | occasion | drop-cookies | desserts | oven | easy | european | holiday-event | kid-friendly | cookies-and-brownies | scottish | dietary | christmas | egg-free | free-of-something | equipment | number-of-servings | baking
